"age","male","race","hrs_per_wk","wkswork","incwage","ed_lt_hs","ed_some_hs","ed_hs_degree","ed_some_col","ed_ba_degree","ed_post_degree"
44,0,"white",0,0,0,0,0,0,0,1,0
46,1,"white",NA,52,50000,0,1,0,0,0,0
46,0,"white",40,52,26000,0,0,0,1,0,0
45,1,"white",NA,52,11000,0,0,0,1,0,0
63,1,"white",NA,52,118500,0,0,1,0,0,0
62,0,"white",20,52,31000,0,0,0,1,0,0
55,0,"white",45,52,83000,0,0,0,0,1,0
56,1,"white",40,52,65000,0,0,1,0,0,0
57,0,"white",40,52,50000,0,0,0,1,0,0
32,0,"multiple/other",NA,52,45760,0,0,0,1,0,0
39,1,"white",NA,13,10000,0,0,1,0,0,0
40,0,"white",12,52,30000,0,0,0,0,1,0
63,0,"white",35,52,23000,0,0,0,1,0,0
51,0,"white",40,52,38000,0,0,0,1,0,0
51,1,"white",NA,52,101000,0,0,0,0,1,0
56,0,"white",NA,52,40000,0,0,0,1,0,0
44,1,"white",NA,52,32000,0,0,0,1,0,0
61,0,"white",36,52,23000,0,0,0,1,0,0
38,1,"white",40,52,42000,0,0,0,0,0,1
32,0,"white",24,52,72000,0,0,0,0,0,1
34,0,"white",20,32,15200,0,0,1,0,0,0
47,1,"white",40,52,52002,0,0,0,0,1,0
47,0,"white",30,52,15000,0,0,0,1,0,0
44,0,"white",40,52,30000,0,0,0,1,0,0
35,0,"white",40,52,35000,0,0,0,1,0,0
33,1,"white",40,38,22000,0,0,1,0,0,0
58,0,"multiple/other",0,0,0,0,0,0,0,1,0
62,0,"white",0,0,0,0,0,0,1,0,0
60,1,"multiple/other",NA,52,82000,0,0,0,1,0,0
32,0,"white",0,0,0,0,0,0,0,1,0
28,1,"white",40,52,35000,0,0,1,0,0,0
36,1,"multiple/other",40,52,46700,0,0,0,1,0,0
36,1,"white",45,52,80000,0,0,0,0,0,1
38,0,"white",45,52,65000,0,0,0,0,0,1
47,0,"white",40,52,35000,0,0,1,0,0,0
39,1,"white",50,52,84000,0,0,1,0,0,0
38,0,"white",40,52,56000,0,0,1,0,0,0
48,0,"white",NA,32,14000,0,0,0,1,0,0
48,1,"white",30,5,3000,0,0,0,1,0,0
36,1,"white",40,52,49600,0,0,0,0,1,0
38,0,"white",0,0,0,0,0,1,0,0,0
42,1,"white",48,52,80000,0,0,0,0,0,1
46,0,"white",40,52,70000,0,0,0,0,1,0
60,0,"white",40,52,84000,0,0,0,1,0,0
60,1,"white",40,52,50000,0,0,1,0,0,0
31,1,"white",60,52,130000,0,0,0,0,0,1
31,0,"white",24,52,20000,0,0,0,0,1,0
53,0,"white",32,52,11571,0,0,0,0,1,0
39,1,"white",50,52,140000,0,0,0,0,1,0
37,0,"white",50,52,30000,0,0,0,1,0,0
63,1,"white",0,0,0,0,0,1,0,0,0
61,0,"white",22,52,10500,0,0,1,0,0,0
38,1,"white",31,52,16000,0,0,0,1,0,0
27,1,"white",NA,3,800,0,0,0,1,0,0
59,1,"white",36,52,17357,0,0,1,0,0,0
41,1,"white",50,52,85000,0,0,0,0,0,1
43,0,"white",40,52,41000,0,0,0,0,0,1
40,1,"white",45,52,52002,0,0,0,0,1,0
39,0,"white",45,52,340000,0,0,0,0,1,0
60,0,"white",45,52,60000,0,0,0,0,0,1
42,1,"white",40,52,90000,0,0,0,0,0,1
39,0,"white",20,30,40000,0,0,0,0,0,1
40,1,"white",0,0,0,0,0,0,1,0,0
62,0,"white",56,52,45000,0,0,0,1,0,0
60,0,"white",45,52,175000,0,0,0,0,0,1
62,1,"white",NA,12,30000,0,0,0,0,0,1
26,1,"white",0,0,0,0,0,0,1,0,0
57,0,"white",50,52,50000,0,0,0,0,1,0
56,1,"white",40,52,30000,0,0,1,0,0,0
37,1,"white",45,48,33000,0,1,0,0,0,0
37,0,"white",40,52,35500,0,0,0,0,0,1
43,0,"asian/pacific",40,52,70000,0,0,0,0,0,1
46,1,"white",45,52,60000,0,0,1,0,0,0
44,0,"white",40,52,24000,0,0,0,0,1,0
57,1,"white",40,49,15000,0,0,1,0,0,0
38,0,"white",0,0,0,0,1,0,0,0,0
62,1,"white",36,52,24000,0,0,1,0,0,0
60,0,"white",40,52,30000,0,0,1,0,0,0
38,0,"white",30,52,13900,0,0,0,1,0,0
53,0,"white",40,48,28900,0,0,1,0,0,0
29,1,"white",40,52,30000,0,0,1,0,0,0
52,0,"white",65,52,23000,0,0,1,0,0,0
44,1,"white",40,52,123000,0,0,1,0,0,0
47,0,"white",0,0,0,0,0,0,1,0,0
52,0,"white",35,52,20000,0,0,1,0,0,0
58,1,"white",60,52,30000,0,0,1,0,0,0
35,0,"white",0,0,0,0,0,0,0,1,0
38,1,"white",50,52,80000,0,0,0,0,0,1
54,1,"white",60,52,34200,0,0,0,0,0,1
39,0,"white",45,52,11900,0,0,0,0,1,0
58,0,"white",45,41,63000,0,0,0,0,1,0
43,0,"white",30,52,21000,0,0,0,1,0,0
36,1,"white",0,0,0,1,0,0,0,0,0
50,1,"white",40,52,42000,0,0,1,0,0,0
46,0,"white",32,50,20000,0,0,1,0,0,0
31,1,"white",0,0,0,0,0,1,0,0,0
33,1,"white",NA,52,28000,0,0,1,0,0,0
26,1,"white",40,52,30000,0,0,1,0,0,0
31,0,"white",40,52,50000,0,0,0,0,1,0
61,0,"white",0,0,0,0,0,1,0,0,0
35,1,"white",44,52,45000,0,0,0,1,0,0
28,0,"white",0,0,0,0,0,0,1,0,0
41,0,"black",64,52,32000,0,0,1,0,0,0
44,1,"white",40,52,54000,0,0,0,1,0,0
61,1,"black",60,52,70000,0,0,0,0,0,1
49,0,"white",40,52,40000,0,0,0,0,0,1
48,1,"white",30,52,0,0,0,1,0,0,0
48,0,"white",60,52,0,0,0,1,0,0,0
64,1,"white",0,0,0,0,0,0,1,0,0
64,0,"white",NA,1,600,0,0,0,1,0,0
56,1,"white",NA,32,2500,0,0,0,0,1,0
57,0,"white",NA,52,230000,0,0,0,0,1,0
37,1,"white",16,12,2500,0,0,1,0,0,0
34,0,"multiple/other",32,44,14000,0,0,0,0,1,0
61,1,"white",48,52,56000,0,0,0,1,0,0
48,0,"white",36,52,43000,0,0,0,1,0,0
52,0,"white",48,52,60000,0,0,1,0,0,0
55,0,"multiple/other",0,0,0,0,0,1,0,0,0
31,0,"white",35,52,27000,0,0,0,0,1,0
29,1,"white",50,52,45000,0,0,1,0,0,0
46,1,"white",40,52,60000,0,0,0,0,1,0
46,0,"white",35,52,35000,0,0,0,0,1,0
47,1,"white",20,4,446,0,0,1,0,0,0
49,0,"white",40,52,39200,0,0,1,0,0,0
36,0,"white",0,0,0,0,0,0,1,0,0
33,1,"multiple/other",40,52,22000,0,0,0,1,0,0
28,0,"multiple/other",40,52,52000,0,0,0,1,0,0
28,1,"white",40,52,39000,0,0,1,0,0,0
30,0,"white",38,44,25000,0,0,0,0,1,0
30,1,"white",40,52,40000,0,0,0,1,0,0
40,0,"white",0,0,0,0,0,0,1,0,0
54,0,"white",50,52,92000,0,0,0,1,0,0
52,1,"multiple/other",50,52,50000,0,0,0,1,0,0
37,1,"asian/pacific",NA,52,50000,0,0,0,1,0,0
31,0,"white",NA,52,15000,0,0,1,0,0,0
32,1,"white",60,52,50000,0,0,0,1,0,0
52,1,"multiple/other",0,0,0,0,0,1,0,0,0
36,0,"white",32,52,12000,0,0,1,0,0,0
37,1,"multiple/other",40,52,30000,0,0,1,0,0,0
41,1,"white",40,52,44000,0,1,0,0,0,0
40,0,"white",40,48,45000,0,0,0,0,1,0
60,1,"white",40,52,75000,0,0,1,0,0,0
60,0,"white",0,0,0,0,0,0,0,1,0
29,1,"white",40,52,40100,0,0,0,1,0,0
26,0,"white",NA,52,31000,0,0,0,1,0,0
55,0,"white",NA,48,29365,0,0,1,0,0,0
58,1,"white",NA,47,71000,0,0,0,1,0,0
47,0,"white",40,52,67000,0,0,0,1,0,0
46,1,"white",40,52,53000,0,0,0,1,0,0
38,1,"white",45,52,0,0,0,1,0,0,0
40,0,"asian/pacific",20,52,68000,0,0,0,0,1,0
46,0,"white",40,52,27000,0,0,0,0,1,0
53,0,"white",NA,52,6000,0,0,0,0,0,1
52,1,"asian/pacific",50,52,70200,0,0,0,0,0,1
45,0,"white",40,52,40000,0,0,0,0,0,1
46,0,"white",16,52,8000,0,0,0,0,1,0
38,1,"white",40,52,28000,0,0,1,0,0,0
53,1,"white",0,0,0,1,0,0,0,0,0
46,0,"multiple/other",0,0,0,0,1,0,0,0,0
42,0,"white",40,52,45000,0,0,0,0,0,1
46,1,"multiple/other",NA,52,49500,0,0,0,0,0,1
43,0,"white",NA,47,2951,0,0,1,0,0,0
46,1,"white",0,0,0,0,0,0,1,0,0
32,1,"black",40,52,7000,0,0,1,0,0,0
46,1,"white",0,0,0,0,0,1,0,0,0
45,0,"white",0,0,0,0,0,0,0,1,0
56,1,"white",60,52,35000,0,0,0,0,0,1
62,1,"white",60,52,34000,0,0,0,0,1,0
56,1,"multiple/other",0,0,0,0,0,1,0,0,0
63,1,"white",NA,2,2400,0,0,1,0,0,0
64,0,"white",24,52,165000,0,0,0,0,0,1
42,1,"white",50,52,50000,0,0,1,0,0,0
63,0,"white",40,52,50002,0,0,1,0,0,0
61,1,"white",40,52,27000,0,0,1,0,0,0
55,1,"white",65,52,47000,0,0,1,0,0,0
58,0,"asian/pacific",65,52,60000,0,0,1,0,0,0
64,1,"white",0,0,0,0,0,1,0,0,0
56,1,"white",0,0,0,0,0,1,0,0,0
35,0,"white",0,0,0,0,0,0,1,0,0
45,1,"white",45,52,46500,0,0,0,0,1,0
36,0,"white",40,52,27900,0,0,0,1,0,0
48,0,"white",36,52,1700,0,0,0,1,0,0
34,0,"white",32,25,17000,0,0,0,1,0,0
33,0,"white",36,52,121000,0,0,0,0,0,1
31,1,"white",40,52,151000,0,0,0,0,0,1
63,1,"white",0,0,0,0,0,0,1,0,0
63,0,"white",0,0,0,0,0,0,1,0,0
57,1,"white",48,52,30000,0,0,1,0,0,0
59,0,"native",0,0,0,0,0,0,1,0,0
46,1,"white",20,52,12000,0,0,1,0,0,0
54,1,"white",0,0,0,0,0,1,0,0,0
63,0,"white",0,0,0,0,0,1,0,0,0
59,1,"white",50,52,50000,0,0,0,1,0,0
27,0,"white",45,52,75000,0,0,0,0,1,0
32,1,"white",50,52,44000,0,0,1,0,0,0
45,1,"white",NA,52,0,0,0,0,0,1,0
51,0,"white",0,0,0,0,0,0,1,0,0
54,0,"white",41,52,66000,0,0,0,0,1,0
51,1,"white",40,52,83000,0,0,1,0,0,0
39,0,"asian/pacific",NA,52,0,0,0,1,0,0,0
64,0,"asian/pacific",0,0,0,0,0,0,1,0,0
41,1,"asian/pacific",40,52,13000,0,0,1,0,0,0
34,1,"white",50,52,90000,0,0,0,0,1,0
33,0,"white",40,52,45000,0,0,0,0,0,1
32,0,"white",40,52,155000,0,0,0,0,0,1
31,1,"white",24,52,36000,0,0,0,0,1,0
25,0,"multiple/other",10,10,1000,0,0,0,1,0,0
40,1,"white",40,52,45000,0,0,1,0,0,0
63,0,"white",0,0,0,0,0,1,0,0,0
35,1,"white",60,52,67000,0,0,0,1,0,0
33,0,"white",40,52,50000,0,0,0,0,1,0
29,0,"white",40,52,47000,0,0,0,0,1,0
35,1,"white",50,52,250000,0,0,0,1,0,0
62,0,"white",40,52,42000,0,0,0,1,0,0
57,1,"white",40,32,68000,0,0,1,0,0,0
54,1,"white",50,52,51000,0,0,0,0,1,0
44,0,"white",40,52,52000,0,0,0,0,0,1
37,1,"white",NA,36,55000,0,0,0,0,0,1
35,0,"white",40,2,5000,0,0,0,0,1,0
36,1,"white",40,12,7000,0,0,0,1,0,0
40,1,"white",20,52,0,0,0,1,0,0,0
33,0,"white",40,52,2000,0,0,1,0,0,0
56,1,"white",50,52,54000,0,0,1,0,0,0
33,1,"white",50,52,0,0,0,1,0,0,0
47,0,"white",40,52,40000,0,0,1,0,0,0
46,1,"white",0,0,0,0,0,1,0,0,0
40,1,"white",NA,48,1121,0,0,1,0,0,0
49,1,"white",60,52,120000,0,0,0,0,1,0
47,0,"white",50,52,55000,0,0,0,0,1,0
51,1,"white",40,52,52000,0,0,1,0,0,0
48,0,"white",37,52,21000,0,0,1,0,0,0
39,1,"multiple/other",40,52,74000,0,0,0,0,0,1
34,0,"white",0,0,0,0,0,0,0,1,0
52,1,"white",47,52,115000,0,0,0,0,1,0
51,0,"white",35,49,65000,0,0,0,0,1,0
63,0,"white",33,52,37000,0,0,0,0,1,0
32,0,"white",0,0,0,0,0,1,0,0,0
46,1,"white",0,0,0,0,0,1,0,0,0
51,0,"white",12,18,1000,0,0,0,0,1,0
54,1,"white",65,52,90000,0,0,0,0,0,1
62,1,"white",36,52,57643,0,0,0,0,1,0
59,0,"white",40,52,34405,0,0,1,0,0,0
43,0,"white",48,52,1e+05,0,0,0,0,0,1
50,1,"white",48,52,92000,0,0,0,1,0,0
53,0,"white",40,52,22000,0,0,0,0,0,1
58,0,"white",40,52,28000,0,0,0,0,1,0
58,1,"white",40,52,23000,0,0,0,0,0,1
27,0,"white",40,52,52002,0,0,0,1,0,0
28,1,"white",40,52,114002,0,0,0,1,0,0
48,1,"white",40,52,75000,0,0,0,0,1,0
48,0,"white",46,50,31500,0,0,0,0,1,0
35,0,"white",40,36,85000,0,0,0,0,0,1
28,1,"white",40,51,70000,0,0,0,0,0,1
33,0,"asian/pacific",40,52,88500,0,0,0,0,1,0
38,1,"white",62,52,80000,0,0,0,0,1,0
32,0,"white",40,52,120000,0,0,0,1,0,0
41,1,"white",45,52,50000,0,0,0,0,1,0
36,0,"white",0,0,0,0,0,0,1,0,0
56,1,"white",40,28,55750,0,0,0,0,1,0
56,1,"white",40,52,47440,0,0,1,0,0,0
64,0,"white",40,52,150000,0,0,0,0,0,1
61,1,"white",40,52,0,0,0,0,0,1,0
53,0,"white",40,52,26600,0,0,0,0,1,0
61,0,"white",40,52,37000,0,0,1,0,0,0
34,0,"white",40,52,36400,0,0,0,1,0,0
27,0,"white",40,52,30000,0,0,0,1,0,0
29,1,"white",NA,52,20000,0,0,1,0,0,0
42,0,"white",40,52,66537,0,0,0,1,0,0
40,1,"white",40,52,50002,0,0,0,1,0,0
40,0,"white",0,0,0,0,0,0,0,1,0
42,1,"white",40,52,2e+05,0,0,0,0,1,0
46,0,"white",44,52,37300,0,0,0,1,0,0
44,1,"white",50,52,50000,0,0,1,0,0,0
53,1,"white",36,52,20000,0,0,1,0,0,0
54,1,"white",40,52,5000,0,0,1,0,0,0
46,1,"white",50,52,28000,0,0,1,0,0,0
37,0,"white",43,52,45000,0,0,0,0,1,0
58,1,"white",NA,20,10000,0,0,1,0,0,0
58,0,"white",0,0,0,0,0,1,0,0,0
64,1,"white",40,52,35000,0,0,1,0,0,0
60,0,"white",28,52,13824,0,0,1,0,0,0
38,0,"white",40,52,75000,0,0,0,1,0,0
53,1,"white",40,52,140000,0,0,0,0,1,0
39,0,"white",25,52,17105,0,0,0,0,1,0
54,1,"white",45,52,100800,0,0,0,1,0,0
54,0,"white",NA,12,2000,0,0,1,0,0,0
46,1,"white",45,52,80000,0,0,0,0,1,0
47,0,"white",40,40,15000,0,0,0,0,1,0
42,0,"white",50,40,58000,0,0,0,0,1,0
37,0,"white",40,52,125002,0,0,0,0,0,1
38,1,"white",40,52,70002,0,0,0,0,0,1
42,0,"white",0,0,0,0,0,1,0,0,0
45,0,"white",40,52,60000,0,0,0,1,0,0
50,0,"white",30,52,95000,0,0,0,0,0,1
52,1,"white",40,52,1e+05,0,0,0,0,1,0
48,0,"white",32,52,85000,0,0,0,0,1,0
48,1,"white",44,50,40000,0,0,0,0,1,0
53,0,"white",40,52,74000,0,0,0,0,1,0
43,0,"white",40,52,40000,0,0,0,1,0,0
39,1,"white",60,52,75000,0,0,0,0,1,0
39,1,"white",40,52,55000,0,0,0,0,1,0
38,0,"white",40,52,35000,0,0,0,0,1,0
52,1,"white",40,52,80000,0,0,0,1,0,0
51,0,"white",40,52,92000,0,0,0,1,0,0
45,0,"white",22,52,40000,0,0,0,0,1,0
53,1,"white",50,52,41000,0,0,0,0,1,0
34,0,"white",40,52,33000,0,0,0,0,1,0
52,1,"white",NA,52,202039,0,0,0,0,1,0
50,0,"white",18,36,8000,0,0,0,0,1,0
49,1,"white",65,52,28800,0,0,0,1,0,0
43,0,"white",55,20,0,0,0,0,0,0,1
58,0,"white",48,52,32000,0,0,0,1,0,0
27,1,"multiple/other",35,52,17350,0,0,1,0,0,0
31,1,"white",40,52,15000,0,0,0,1,0,0
40,1,"black",40,52,44000,0,0,0,0,1,0
32,0,"black",20,32,4000,0,0,1,0,0,0
46,1,"white",NA,52,0,0,0,0,0,0,1
37,0,"white",43,52,90001,0,0,0,0,1,0
62,1,"white",0,0,0,0,0,1,0,0,0
